news_id,company_id,tarih,kaynak,baslik,sentiment
N00024,F00850,2023-04-10,Hürriyet Ekonomi,"Mavera Turizm Ltd. Şti., sektör raporlarında Tekstil alanındaki oyunculardan biri olarak yer aldı.",notr
N00025,F00241,2023-03-27,Dünya Gazetesi,Kervan Tekstil A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00026,F00241,2022-10-11,Ekonomim,Kervan Tekstil A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00027,F00171,2023-08-02,Dünya Gazetesi,"Kıvılcım Sistem Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00028,F00524,2022-04-20,Ekonomim,"Cevher Yazılım Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00029,F00766,2023-12-06,Ekonomim,"Bereket Enerji Ltd. Şti., 2023 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00030,F00839,2025-01-18,Ekonomim,"Mavera Tarım Ltd. Şti., 2025 yılı genel kurul toplantısını Samsun'de gerçekleştirdi.",notr
N00031,F00424,2026-06-01,Sözcü,"Kıvılcım Teknoloji A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00032,F00424,2025-06-19,Bloomberg HT,"Kıvılcım Teknoloji A.Ş., 2025 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00033,F00381,2025-10-27,Ekonomim,"Damla Tarım Ltd. Şti., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00034,F00610,2022-11-10,Hürriyet Ekonomi,"Damla Gıda A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00035,F00677,2026-01-11,Dünya Gazetesi,"Rüzgar Kimya Ltd. Şti., 2026 yılı genel kurul toplantısını İzmir'de gerçekleştirdi.",notr
N00036,F00677,2022-03-08,Hürriyet Ekonomi,Rüzgar Kimya Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00037,F00677,2023-10-12,Ekonomim,"Rüzgar Kimya Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00038,F00345,2023-08-15,Bloomberg HT,"Ege Holding A.Ş. yönetimi, 2023 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00039,F00345,2022-10-14,Dünya Gazetesi,"Ege Holding A.Ş., Mersin'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00040,F00345,2023-03-23,Bloomberg HT,"Ege Holding A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00041,F00110,2026-01-14,Sözcü,"Erguvan Teknoloji Ltd. Şti. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00042,F00110,2026-08-15,Hürriyet Ekonomi,"Erguvan Teknoloji Ltd. Şti., İzmir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00043,F00278,2026-03-12,Sözcü,"Bahar Endüstri Ltd. Şti., 2026 yılında Tarım sektöründe 348 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00044,F00678,2024-01-07,Dünya Gazetesi,"Deniz Enerji A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00045,F00571,2024-06-26,Hürriyet Ekonomi,"Anka Holding Ltd. Şti., sektör raporlarında Finans ve Sigorta alanındaki oyunculardan biri olarak yer aldı.",notr
N00046,F00359,2026-03-12,Ekonomim,"Bahar Teknoloji Ltd. Şti., 2026 yılında Otomotiv sektöründe 380 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00047,F00359,2022-11-18,Ekonomim,"Bahar Teknoloji Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00048,F00599,2026-07-03,Bloomberg HT,Rüzgar Sistem A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00049,F00391,2026-02-18,Ekonomim,"Erguvan Otomotiv Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00050,F00894,2023-03-07,Bloomberg HT,"Zirve Enerji Ltd. Şti., 2023 yılında Gıda ve İçecek sektöründe 401 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00051,F00693,2025-06-13,Ekonomim,"Deniz Holding Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00052,F00693,2024-02-11,Ekonomim,"Deniz Holding Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00053,F00728,2023-10-31,Bloomberg HT,"Cevher Grup Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00054,F00363,2026-02-12,Hürriyet Ekonomi,"Cevher Gıda Ltd. Şti., sektör raporlarında Gıda ve İçecek alanındaki oyunculardan biri olarak yer aldı.",notr
N00055,F00597,2024-04-08,Bloomberg HT,"Sahil Otomotiv A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00056,F00597,2024-06-09,Sözcü,"Sahil Otomotiv A.Ş., Kayseri'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00057,F00428,2025-01-01,Bloomberg HT,"Damla Enerji Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00058,F00071,2024-05-21,Sözcü,"Damla Ticaret Ltd. Şti., 2024 yılında Finans ve Sigorta sektöründe 328 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00059,F00322,2024-04-14,Bloomberg HT,"Mavera Makine Ltd. Şti., sektör raporlarında Kimya alanındaki oyunculardan biri olarak yer aldı.",notr
N00060,F00653,2023-05-24,Hürriyet Ekonomi,"Nokta Gıda Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00061,F00653,2026-01-17,Ekonomim,"Nokta Gıda Ltd. Şti., sektör raporlarında Sağlık alanındaki oyunculardan biri olarak yer aldı.",notr
N00062,F01066,2026-08-10,Dünya Gazetesi,"Ege Yapı A.Ş., 2026 yılında Eğitim sektöründe 288 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00063,F01066,2026-07-14,Bloomberg HT,Ege Yapı A.Ş. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00064,F01066,2024-05-01,Sözcü,"Ege Yapı A.Ş., 2024 yılında Eğitim sektöründe 232 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00065,F00108,2023-12-07,Ekonomim,"Kıvılcım Lojistik A.Ş., 2023 yılında Tarım sektöründe 439 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00066,F00108,2025-09-30,Sözcü,"Kıvılcım Lojistik A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00067,F00108,2024-09-27,Bloomberg HT,"Kıvılcım Lojistik A.Ş., 2024 yılında Tarım sektöründe 45 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00068,F01109,2023-01-06,Dünya Gazetesi,"Toros Turizm A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00069,F01109,2023-05-22,Sözcü,"Toros Turizm A.Ş., Adana'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00070,F00356,2023-04-08,Dünya Gazetesi,"Nokta Tekstil Ltd. Şti., 2023 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00071,F00356,2025-04-27,Sözcü,"Nokta Tekstil Ltd. Şti., 2025 yılı genel kurul toplantısını Antalya'de gerçekleştirdi.",notr
N00072,F00356,2025-12-31,Dünya Gazetesi,Nokta Tekstil Ltd. Şti. hakkında Antalya Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00073,F00951,2026-03-19,Hürriyet Ekonomi,"Deniz Sistem Ltd. Şti. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00074,F00343,2022-08-21,Sözcü,"Bahar Makine Ltd. Şti., Eskişehir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00075,F00343,2022-12-21,Bloomberg HT,"Bahar Makine Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00076,F00355,2025-10-31,Ekonomim,"Umut Makine A.Ş., İzmir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00077,F00355,2024-11-02,Hürriyet Ekonomi,"Umut Makine A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00078,F00024,2023-01-14,Dünya Gazetesi,"Bumerang Enerji A.Ş. yönetimi, 2023 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00079,F00044,2025-08-17,Bloomberg HT,"Damla Kimya Ltd. Şti., sektör raporlarında Otomotiv alanındaki oyunculardan biri olarak yer aldı.",notr
N00080,F00244,2024-06-06,Sözcü,"Umut Enerji A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00081,F00244,2022-04-24,Sözcü,"Umut Enerji A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00082,F00244,2025-02-06,Sözcü,"Umut Enerji A.Ş., sektör raporlarında Sağlık alanındaki oyunculardan biri olarak yer aldı.",notr
N00083,F00738,2024-05-09,Bloomberg HT,"Umut Enerji A.Ş., Adana'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00084,F00738,2025-02-17,Ekonomim,"Umut Enerji A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00085,F01136,2025-02-14,Sözcü,Damla Yapı Ltd. Şti. hakkında Kayseri Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00086,F00368,2023-08-08,Sözcü,"Mavera Endüstri Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00087,F00368,2025-10-12,Sözcü,"Mavera Endüstri Ltd. Şti., Kayseri'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00088,F00164,2024-04-06,Bloomberg HT,"Aydın Teknoloji A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00089,F00164,2026-04-08,Bloomberg HT,"Aydın Teknoloji A.Ş., Konya'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00090,F01116,2023-03-12,Bloomberg HT,"Zirve Gıda Ltd. Şti., sektör raporlarında Enerji alanındaki oyunculardan biri olarak yer aldı.",notr
N00091,F01116,2023-11-26,Bloomberg HT,"Zirve Gıda Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00092,F01116,2023-05-08,Dünya Gazetesi,Zirve Gıda Ltd. Şti. hakkında Antalya Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00093,F00333,2026-05-31,Bloomberg HT,"Bahar Enerji A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00094,F00333,2022-09-03,Ekonomim,"Bahar Enerji A.Ş., 2022 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00095,F00989,2022-03-05,Ekonomim,"Kaptan Kimya Ltd. Şti., 2022 yılında Metal ve Makine sektöründe 313 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00096,F00989,2026-03-15,Dünya Gazetesi,"Kaptan Kimya Ltd. Şti. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00097,F01173,2026-01-18,Bloomberg HT,"Umut Danışmanlık A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00098,F01173,2024-11-08,Hürriyet Ekonomi,"Umut Danışmanlık A.Ş. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00099,F01173,2022-11-22,Hürriyet Ekonomi,"Umut Danışmanlık A.Ş., sektör raporlarında Bilişim ve Yazılım alanındaki oyunculardan biri olarak yer aldı.",notr
N00100,F01002,2025-07-19,Sözcü,"Doruk Makine Ltd. Şti. yönetimi, 2025 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00101,F01002,2023-11-15,Bloomberg HT,"Doruk Makine Ltd. Şti., 2023 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00102,F00378,2024-08-16,Dünya Gazetesi,"Anka Sistem Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00103,F00378,2022-12-14,Hürriyet Ekonomi,"Anka Sistem Ltd. Şti., 2022 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00104,F00378,2024-07-03,Ekonomim,"Anka Sistem Ltd. Şti., 2024 yılında Metal ve Makine sektöründe 497 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00105,F00310,2023-03-03,Sözcü,"Ege Lojistik A.Ş., 2023 yılı genel kurul toplantısını Ankara'de gerçekleştirdi.",notr
N00106,F00156,2026-02-28,Bloomberg HT,"Pusula Enerji A.Ş., 2026 yılında Metal ve Makine sektöründe 26 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00107,F00156,2025-05-06,Hürriyet Ekonomi,"Pusula Enerji A.Ş., 2025 yılında Metal ve Makine sektöründe 452 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00108,F00211,2025-08-14,Sözcü,Damla İnşaat Ltd. Şti. hakkında Mersin Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00109,F00211,2023-09-24,Sözcü,"Damla İnşaat Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00110,F00087,2023-03-29,Sözcü,Yıldız İnşaat Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00111,F00087,2026-02-24,Dünya Gazetesi,"Yıldız İnşaat Ltd. Şti., 2026 yılı genel kurul toplantısını Adana'de gerçekleştirdi.",notr
N00112,F00169,2026-06-14,Dünya Gazetesi,"Kıvılcım Tarım A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00113,F00995,2026-02-09,Sözcü,"Ege Metal Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00114,F00995,2025-02-11,Hürriyet Ekonomi,"Ege Metal Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00115,F00995,2026-02-26,Sözcü,"Ege Metal Ltd. Şti., 2026 yılında Perakende Ticaret sektöründe 161 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00116,F00052,2025-04-02,Hürriyet Ekonomi,Bumerang Tarım Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00117,F00439,2022-06-27,Sözcü,"Mavera Turizm A.Ş., 2022 yılında Lojistik sektöründe 398 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00118,F00550,2024-08-09,Sözcü,"Toprak Makine A.Ş., 2024 yılında Perakende Ticaret sektöründe 300 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00119,F00550,2026-04-05,Sözcü,Toprak Makine A.Ş. hakkında Ankara Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00120,F00491,2022-10-13,Dünya Gazetesi,Bahar Tekstil Ltd. Şti. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00121,F00491,2026-05-10,Ekonomim,"Bahar Tekstil Ltd. Şti., 2026 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00122,F00426,2025-10-06,Bloomberg HT,"Toprak Otomotiv Ltd. Şti., 2025 yılında Enerji sektöründe 334 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00123,F00136,2024-03-14,Hürriyet Ekonomi,"Zirve Tarım Ltd. Şti., 2024 yılında Otomotiv sektöründe 98 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00124,F00136,2025-04-20,Sözcü,"Zirve Tarım Ltd. Şti., 2025 yılı genel kurul toplantısını Adana'de gerçekleştirdi.",notr
N00125,F00136,2024-06-06,Sözcü,"Zirve Tarım Ltd. Şti., 2024 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00126,F01192,2026-08-23,Bloomberg HT,"Vadi Makine A.Ş., İzmir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00127,F00055,2026-02-22,Hürriyet Ekonomi,"Vadi Kimya Ltd. Şti., 2026 yılı genel kurul toplantısını Kayseri'de gerçekleştirdi.",notr
N00128,F00079,2026-08-08,Dünya Gazetesi,"Damla Enerji Ltd. Şti., 2026 yılında Sağlık sektöründe 21 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00129,F00431,2026-06-20,Dünya Gazetesi,"Nokta Turizm A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00130,F00431,2025-08-05,Bloomberg HT,Nokta Turizm A.Ş. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00131,F00431,2024-02-18,Bloomberg HT,"Nokta Turizm A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00132,F00185,2024-05-04,Ekonomim,"Erguvan Tarım A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00133,F00057,2022-01-04,Ekonomim,"Damla Enerji Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00134,F00943,2025-03-18,Bloomberg HT,"Pusula Holding Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00135,F00943,2024-08-31,Hürriyet Ekonomi,"Pusula Holding Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00136,F00851,2024-09-13,Hürriyet Ekonomi,"Yörünge Turizm A.Ş., 2024 yılında Finans ve Sigorta sektöründe 195 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00137,F01164,2022-04-06,Bloomberg HT,"Meridyen Grup A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00138,F01164,2025-08-01,Sözcü,"Meridyen Grup A.Ş. yönetimi, 2025 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00139,F01164,2022-11-29,Sözcü,"Meridyen Grup A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00140,F00219,2025-02-05,Hürriyet Ekonomi,"Pusula Yazılım A.Ş., sektör raporlarında Gıda ve İçecek alanındaki oyunculardan biri olarak yer aldı.",notr
N00141,F00219,2024-02-14,Ekonomim,"Pusula Yazılım A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00142,F00219,2024-10-09,Bloomberg HT,"Pusula Yazılım A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00143,F00845,2023-01-02,Hürriyet Ekonomi,"Pusula Lojistik A.Ş., sektör raporlarında Otomotiv alanındaki oyunculardan biri olarak yer aldı.",notr
N00144,F00114,2024-01-27,Ekonomim,"Doruk Teknoloji A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00145,F00114,2026-01-26,Bloomberg HT,"Doruk Teknoloji A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00146,F00549,2024-11-03,Hürriyet Ekonomi,"Kıvılcım Metal A.Ş., sektör raporlarında Bilişim ve Yazılım alanındaki oyunculardan biri olarak yer aldı.",notr
N00147,F01019,2022-08-17,Ekonomim,"Mavera Sistem Ltd. Şti., 2022 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00148,F01073,2024-01-14,Sözcü,"Çınar Teknoloji A.Ş., 2024 yılı genel kurul toplantısını Trabzon'de gerçekleştirdi.",notr
N00149,F00175,2026-06-30,Sözcü,"Toros Enerji Ltd. Şti., 2026 yılı genel kurul toplantısını İzmir'de gerçekleştirdi.",notr
N00150,F00175,2022-07-01,Hürriyet Ekonomi,"Toros Enerji Ltd. Şti., 2022 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00151,F01023,2026-06-22,Hürriyet Ekonomi,Zirve Endüstri Ltd. Şti. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00152,F01023,2025-02-02,Dünya Gazetesi,"Zirve Endüstri Ltd. Şti., 2025 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00153,F00616,2023-02-06,Bloomberg HT,"Aydın Metal Ltd. Şti., 2023 yılında Eğitim sektöründe 389 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00154,F00616,2025-04-26,Sözcü,"Aydın Metal Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00155,F00514,2026-01-16,Hürriyet Ekonomi,"Kaptan Enerji Ltd. Şti. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00156,F00462,2022-12-06,Bloomberg HT,"Erguvan Gıda Ltd. Şti. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00157,F00287,2023-06-23,Hürriyet Ekonomi,"Kaptan Grup Ltd. Şti., sektör raporlarında Bilişim ve Yazılım alanındaki oyunculardan biri olarak yer aldı.",notr
N00158,F00287,2025-09-13,Dünya Gazetesi,"Kaptan Grup Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00159,F00287,2022-04-03,Bloomberg HT,Kaptan Grup Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00160,F00382,2022-08-27,Sözcü,"Rüzgar Sistem Ltd. Şti. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00161,F01008,2023-10-31,Sözcü,"Umut Enerji A.Ş., sektör raporlarında Metal ve Makine alanındaki oyunculardan biri olarak yer aldı.",notr
N00162,F01008,2026-04-12,Dünya Gazetesi,"Umut Enerji A.Ş., 2026 yılı genel kurul toplantısını Gaziantep'de gerçekleştirdi.",notr
N00163,F00671,2023-04-21,Sözcü,"Doğuş Ticaret Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00164,F00671,2026-08-25,Sözcü,"Doğuş Ticaret Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00165,F00535,2024-05-22,Hürriyet Ekonomi,"Nokta Tarım Ltd. Şti. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
